"","Indicator","year","Indicator_no","Total.number.of.pregnant.women.Registered.for.ANC...","Number.of.Pregnant.women.registered.within.first.trimester...","Number.of.Women.registered.under.JSY...","X..1st.Trimester.registration.to.Total.ANC.Registrations...","X..JSY.registration.to.Total.ANC.Registration...","Number.of.pregnant.women.received.3.ANC.check.ups...","TT2.or.Booster.given.to.Pregnant.women..numbers....","X..Pregnant.Woman.received.3.ANC.check.ups.to.Total.ANC.Registrations...","X..Pregnant.women.received.TT2.or.Booster.to.Total.ANC.Registration...","Number.of.Pregnant.women.given.100.IFA.tablets...","X..Pregnant.women.given.100.IFA.to.Total.ANC.Registration...","Number.having.Hb.level.11..tested.cases....","Number.having.severe.anaemia..Hb.7..treated.at.institution...","X..Pregnant.women.having.severe.anaemia..Hb.7..treated.at.institution.to.women.having.hb.level.11...","X..New.cases.detected.at.institution.for.hypertension.to.Total.ANC.Registrations...","Number.of.Home.deliveries...","Number.of.home.deliveries.attended.by.SBA.trained..Doctor.Nurse.ANM....","Number.of.home.deliveries.attended.by.Non.SBA.trained..trained.TB.Dai....","X..SBA.attended.home.deliveries.to.Total.Reported.Home.Deliveries...","Mothers.paid.JSY.incentive.for.home.deliveries...","X..Mothers.paid.JSY.incentive.for.home.deliveries.to.Total.Reported.Home.Deliveries...","Deliveries.Conducted.at.Public.Institutions...","Number.of.Women.Discharged.under.48.hours.of.delivery.in.public.facilities...","X..Women.discharged.in.less.than.48.hours.of.delivery.to.Total.Reported.Deliveries.at.public.institutions...","Institutional.deliveries..Public.Insts..Pvt..Insts.....","X..Institutional.Deliveries.to.total.ANC.registration...","Total.reported.deliveries...","X..Institutional.deliveries.to.Total.Reported.Deliveries...","X..Safe.deliveries.to.Total.Reported.Deliveries...","X..Home.deliveries.to.Total.Reported.Deliveries...","Number.of.C.section.deliveries.conducted.at.public.facilities...","Number.of.C.section.deliveries.conducted.at.private.facilities...","X..C.section.deliveries..Public...Pvt...to.reported.institutional..Public...Pvt...deliveries...","X..C.sections.conducted.at.public.facilities.to.Deliveries.conducted.at.public.facilities...","X..C.sections.conducted.at.Private.facilities.to.Deliveries.conducted.at.private.facilities...","X..Deliveries.conducted.at.Public.Institutions.to.Total.Institutional.Deliveries...","X..Mothers.paid.JSY.Incentive.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..of.cases.where.JSY.Incentive.paid.to.ASHA.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..Deliveries.conducted.at.Private.Institutions.to.Total.Institutional.Deliveries...","Women.received.post.partum.check.up.within.48.hours.of.delivery...","Post...Natal.Care...Women.got.a.post.partum.check.up.between.48.hours.and.14.days...","X..Women.receiving.post.partum.check.up.within.48.hours.of.delivery.to.Total.Reported.Deliveries...","X..Women.getting.Post.Partum.Checkup.between.48.hours.and.14.days.to.Total.Deliveries...","Total.Number.of.reported.live.births...","X..Total.Reported.Live.Births.to.Total.Deliveries...","Total.Number.of.reported.Still.Births...","X..live.birth.to.Reported.Birth...","Number.of.Newborns.weighed.at.birth...","X..Newborns.weighed.at.birth.to.live.birth...","Number.of.Newborns.having.weight.less.than.2.5.kg...","X..Newborns.having.weight.less.than.2.5.kg.to.Newborns.weighed.at.birth..."
"214","THQH Ottappalam","2014-15",10,"49","27","8",55.1,16.3,"30","1,109",61.2,2263.3,"961",1961.2,"207","23",11.1,57.1,NA,NA,NA,NA,NA,NA,"1,469",0,0,"4,312",8800,"4,312",100,100,0,"511","951",33.9,34.8,33.5,34.1,14,0,65.9,"4,136","1,462",95.9,33.9,"4,337",100.6,1,100,"4,337",100,"480",11.1
"215","THQH Pattambi","2014-15",10,"0","0","0",NA,NA,"0","21",NA,NA,"21",NA,"10","0",0,NA,NA,NA,NA,NA,NA,NA,"0",0,NA,"0",NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"216","Vadakkencherry CHCArea","2014-15",10,"2,421","1,987","859",82.1,35.5,"2,220","1,435",91.7,59.3,"2,222",91.8,"150","0",0,0.2,6,0,6,0,0,0,"0",0,NA,"0",0,"6",0,0,100,"0","0",NA,NA,NA,NA,NA,NA,NA,"14","1,854",233.3,900,"6",100,0,100,"6",100,"1",16.7
"218","Chathenkery CHCArea","2014-15",11,"1,318","1,061","978",80.5,74.2,"1,291","915",98,69.4,"1,181",89.6,"62","0",0,1,0,0,0,NA,0,NA,"0",0,NA,"492",37.3,"492",100,100,0,"0","192",39,NA,39,0,NA,NA,100,"497","1,274",101,258.9,"494",100.4,0,100,"494",100,"44",8.9
"219","Dist Hosp Kozhencherry","2014-15",11,"31","20","31",64.5,100,"27","2,029",87.1,6545.2,"29",93.5,"1,475","4",0.3,138.7,NA,NA,NA,NA,NA,NA,"1,315",0,0,"2,805",9048.4,"2,805",100,100,0,"517","1,034",55.3,39.3,69.4,46.9,83.4,0,53.1,"2,805","2,805",100,100,"2,825",100.7,5,99.8,"2,825",100,"312",11
"220","Elanthoor CHCArea","2014-15",11,"1,191","979","1,049",82.2,88.1,"1,245","474",104.5,39.8,"1,158",97.2,"25","0",0,0.5,1,0,1,0,0,0,"0",0,NA,"0",0,"1",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"1","1,021",100,2100,"1",100,0,100,"1",100,"0",0
"221","Enadimangalam CHCArea","2014-15",11,"2,779","2,295","2,490",82.6,89.6,"2,532","2,321",91.1,83.5,"3,076",110.7,"520","1",0.2,3.9,3,1,2,33.3,0,0,"0",0,NA,"2,287",82.3,"2,290",99.9,99.9,0.1,"0","1,520",66.5,NA,66.5,0,NA,NA,100,"2,341","4,792",102.2,209.3,"2,367",103.4,7,99.7,"2,367",100,"436",18.4
"222","Ezhumattoor CHCArea","2014-15",11,"613","501","403",81.7,65.7,"590","291",96.2,47.5,"604",98.5,"10","0",0,0.5,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","501",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"223","GH Adoor","2014-15",11,"52","38","52",73.1,100,"52","547",100,1051.9,"57",109.6,"369","4",1.1,103.8,NA,NA,NA,NA,NA,NA,"1,332",0,0,"1,332",2561.5,"1,332",100,100,0,"513",NA,38.5,38.5,NA,100,86.6,5.9,0,"1,332","1,268",100,95.2,"1,332",100,0,100,"1,332",100,"216",16.2
"224","General Hosp Pathanamthitta","2014-15",11,"307","213","307",69.4,100,"372","799",121.2,260.3,"461",150.2,"115","1",0.9,18.2,NA,NA,NA,NA,NA,NA,"1,410",0,0,"2,251",733.2,"2,251",100,100,0,"837","631",65.2,59.4,75,62.6,8.7,2.3,37.4,"2,251","2,104",100,93.5,"2,262",100.5,1,100,"2,262",100,"247",10.9
"225","Kanjeettukara CHCArea","2014-15",11,"603","486","500",80.6,82.9,"662","194",109.8,32.2,"581",96.4,"21","0",0,1.2,0,0,0,NA,0,NA,"0",0,NA,"11",1.8,"11",100,100,0,"0","3",27.3,NA,27.3,0,NA,NA,100,"8","587",72.7,5336.4,"11",100,0,100,"11",100,"1",9.1
"226","Konni CHCArea","2014-15",11,"1,717","1,384","1,713",80.6,99.8,"1,637","895",95.3,52.1,"1,541",89.7,"67","0",0,0.8,4,2,2,50,0,0,"0",0,NA,"101",5.9,"105",96.2,98.1,3.8,"0","63",62.4,NA,62.4,0,NA,NA,100,"104","1,526",99,1453.3,"105",100,0,100,"105",100,"6",5.7
"227","Kunnanthanam BPHC Area","2014-15",11,"1,347","1,104","1,343",82,99.7,"1,260","615",93.5,45.7,"1,321",98.1,"50",NA,0,1.3,1,0,1,0,0,0,"0",0,NA,"0",0,"1",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"1","1,205",100,500,"1",100,0,100,"1",100,"1",100
"228","THQH Tiruvalla","2014-15",11,"230","167","107",72.6,46.5,"227","198",98.7,86.1,"227",98.7,"137",NA,0,0,NA,NA,NA,NA,NA,NA,"407",NA,0,"3,755",1632.6,"3,755",100,100,0,"188","1,742",51.4,46.2,52,10.8,103.9,0,89.2,"3,755","3,755",100,100,"3,796",101.1,21,99.4,"3,796",100,"407",10.7
"229","Thumpamon CHCArea","2014-15",11,"741","581","613",78.4,82.7,"717","1,285",96.8,173.4,"871",117.5,"193","0",0,8.9,1,0,1,0,0,0,"0",0,NA,"1,704",230,"1,705",99.9,99.9,0.1,"0","1,022",60,NA,60,0,NA,NA,100,"1,705","2,234",100,131,"1,723",101.1,7,99.6,"1,723",100,"222",12.9
"230","Vallana CHCArea","2014-15",11,"689","553","449",80.3,65.2,"671","441",97.4,64,"658",95.5,"29","0",0,1.2,0,0,0,NA,0,NA,"0",0,NA,"21",3,"21",100,100,0,"0","15",71.4,NA,71.4,0,NA,NA,100,"18","591",85.7,2814.3,"21",100,0,100,"21",100,"0",0
"231","Vechoochira CHCArea","2014-15",11,"2,039","1,742","1,901",85.4,93.2,"1,944","1,265",95.3,62,"1,946",95.4,"55","0",0,0.6,13,1,12,7.7,5,38.5,"69",0,0,"323",15.8,"336",96.1,96.4,3.9,"21","197",67.5,30.4,77.6,21.4,71,0,78.6,"351","1,766",104.5,525.6,"337",100.3,0,100,"336",99.7,"33",9.8
"233","Anchuthengu CHCArea","2014-15",12,"1,331","1,110","983",83.4,73.9,"1,283","438",96.4,32.9,"1,274",95.7,"28","0",0,0.8,2,0,2,0,1,50,"0",0,NA,"0",0,"2",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"10","1,004",500,200,"2",100,0,100,"2",100,"0",0
"234","Ayurveda College Hospital For Women and Children P","2014-15",12,"80","31","15",38.8,18.8,"48","37",60,46.3,"80",100,"2","0",0,0,NA,NA,NA,NA,NA,NA,"0",0,NA,"532",665,"532",100,100,0,"0","286",53.8,NA,53.8,0,NA,NA,100,"439","360",82.5,67.7,"532",100,0,100,"532",100,"38",7.1
"235","CHC Attingal","2014-15",12,"389","265","260",68.1,66.8,"306","668",78.7,171.7,"204",52.4,"0","0",NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,"1,431",367.9,"1,431",100,100,0,"0","548",38.3,NA,38.3,0,NA,NA,100,"1,439","0",100.6,0,"1,449",101.3,0,100,"1,449",100,"75",5.2
"236","CHC Fort Hospital","2014-15",12,"373","224","321",60.1,86.1,"294","899",78.8,241,"406",108.8,"46","0",0,5.9,NA,NA,NA,NA,NA,NA,"0",13,NA,"2,054",550.7,"2,054",100,100,0,"0","961",46.8,NA,46.8,0,NA,NA,100,"2,359","1,244",114.8,60.6,"2,367",115.2,1,100,"2,367",100,"90",3.8
"237","CHC Nemom","2014-15",12,"118","84","85",71.2,72,"114","105",96.6,89,"119",100.8,"0","0",NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"238","CHC Palode","2014-15",12,"13","10","11",76.9,84.6,"11","46",84.6,353.8,"12",92.3,"0","0",NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","6",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"239","CHC Varkala","2014-15",12,"479","340","301",71,62.8,"376","1,103",78.5,230.3,"441",92.1,"132","36",27.3,6.1,NA,NA,NA,NA,NA,NA,"0",0,NA,"295",61.6,"295",100,100,0,"0","155",52.5,NA,52.5,0,NA,NA,100,"925","925",313.6,313.6,"922",312.5,1,99.9,"922",100,"84",9.1
"240","District Model Hospital Peroorkada","2014-15",12,"32","25","26",78.1,81.3,"55","866",171.9,2706.3,"78",243.8,"70","0",0,287.5,NA,NA,NA,NA,NA,NA,"871",1,0.1,"2,057",6428.1,"2,057",100,100,0,"292","715",49,33.5,60.3,42.3,65.7,0,57.7,"1,957","451",95.1,21.9,"2,056",100,4,99.8,"2,056",100,"100",4.9
"241","General Hospital Thiruvananthapuram","2014-15",12,"0","0","0",NA,NA,"0","0",NA,NA,"0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",0,NA,"0",NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"242","Kallara CHCArea","2014-15",12,"1,165","999","887",85.8,76.1,"1,129","583",96.9,50,"1,298",111.4,"23","0",0,1,2,0,2,0,0,0,"0",0,NA,"0",0,"2",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1,020",0,1000,"2",100,0,100,"2",100,"1",50
"243","Kanyakulangara CHCArea","2014-15",12,"2,056","1,706","1,557",83,75.7,"1,849","658",89.9,32,"1,884",91.6,"13","0",0,0.1,0,0,0,NA,0,NA,"225",0,0,"225",10.9,"225",100,100,0,"36",NA,16,16,NA,100,93.3,0,0,"241","1,599",107.1,710.7,"206",91.6,0,100,"206",100,"21",10.2
"244","Kesavapuram CHC Area","2014-15",12,"3,044","2,724","2,940",89.5,96.6,"2,886","1,165",94.8,38.3,"2,889",94.9,"27","0",0,0.4,4,1,3,25,0,0,"0",0,NA,"128",4.2,"132",97,97.7,3,"0","49",38.3,NA,38.3,0,NA,NA,100,"78","2,683",59.1,2032.6,"132",100,0,100,"131",99.2,"2",1.5
"245","MCH Unit Pangappara","2014-15",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Manamboor CHC Area","2014-15",12,"3,600","2,628","1,604",73,44.6,"3,207","923",89.1,25.6,"3,334",92.6,"91","0",0,1.7,5,1,4,20,1,20,"0",0,NA,"304",8.4,"309",98.4,98.7,1.6,"0","139",45.7,NA,45.7,0,NA,NA,100,"307","3,199",99.4,1035.3,"309",100,1,99.7,"309",100,"6",1.9
"247","Perumkadavilla CHC Area","2014-15",12,"1,662","1,417","1,194",85.3,71.8,"1,508","615",90.7,37,"1,571",94.5,"37","0",0,1.2,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1,446",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"248","Poonthura CHC Area","2014-15",12,"1,518","1,081","1,503",71.2,99,"1,334","358",87.9,23.6,"1,365",89.9,"54","0",0,0.6,0,0,0,NA,0,NA,"0",0,NA,"2,203",145.1,"2,203",100,100,0,"0","1,097",49.8,NA,49.8,0,NA,NA,100,"2,036","1,266",92.4,57.5,"2,201",99.9,2,99.9,"2,201",100,"171",7.8
"249","Poovar CHC Area","2014-15",12,"2,530","2,148","1,549",84.9,61.2,"2,212","1,068",87.4,42.2,"1,908",75.4,"71","0",0,0.3,0,0,0,NA,0,NA,"0",0,NA,"63",2.5,"63",100,100,0,"0","0",0,NA,0,0,NA,NA,100,"59","2,440",93.7,3873,"63",100,0,100,"63",100,"2",3.2
"250","Pulluvilla CHC Area","2014-15",12,"737","634","701",86,95.1,"802","351",108.8,47.6,"741",100.5,"56","0",0,1.5,0,0,0,NA,0,NA,"0",0,NA,"45",6.1,"45",100,100,0,"0","43",95.6,NA,95.6,0,NA,NA,100,"45","720",100,1600,"45",100,0,100,"45",100,"0",0
"251","Puthenthope CHC Area","2014-15",12,"2,885","2,332","1,165",80.8,40.4,"2,700","967",93.6,33.5,"2,633",91.3,"42","0",0,0.4,1,1,0,100,0,0,"0",0,NA,"439",15.2,"440",99.8,100,0.2,"0","147",33.5,NA,33.5,0,NA,NA,100,"411","2,707",93.4,615.2,"441",100.2,0,100,"441",100,"41",9.3
"252","SAT Hospital Thiruvananthapuram","2014-15",12,"49","38","22",77.6,44.9,"2,909","4,307",5936.7,8789.8,"15",30.6,"4,281","20",0.5,2187.8,NA,NA,NA,NA,NA,NA,"9,950",0,0,"15,297",1218.4,"15,297",100,100,0,"3,948","2,814",44.2,39.7,52.6,65,24.5,0,35,"15,301","14,914",100,97.5,"15,330",100.2,320,98,"15,330",100,"3,371",22
"253","Taluk Hospital Chirayinkeezhu","2014-15",12,"45","36","31",80,68.9,"41","1,151",91.1,2557.8,"783",1740,"0","0",NA,133.3,NA,NA,NA,NA,NA,NA,"2,009",28,1.4,"2,009",4464.4,"2,009",100,100,0,"576",NA,28.7,28.7,NA,100,33.5,0,0,"2,005","1,981",99.8,98.6,"2,012",100.1,3,99.9,"2,012",100,"250",12.4
"254","Taluk Hospital Nedumangadu","2014-15",12,"630","446","630",70.8,100,"343","1,720",54.4,273,"1,895",300.8,"874","18",2.1,5.9,NA,NA,NA,NA,NA,NA,"1,894",0,0,"2,397",380.5,"2,397",100,100,0,"749","257",42,39.5,51.1,79,53.3,0,21,"2,397","2,397",100,100,"2,404",100.3,1,100,"2,404",100,"158",6.6
"255","Taluk Hospital Neyyattinkara","2014-15",12,"355","229","276",64.5,77.7,"233","1,653",65.6,465.6,"534",150.4,"0","0",NA,0,NA,NA,NA,NA,NA,NA,"1,279",0,0,"1,801",507.3,"1,801",100,100,0,"474","231",39.1,37.1,44.3,71,78.1,0,29,"1,801","257",100,14.3,"1,802",100.1,2,99.9,"1,802",100,"266",14.8
"256","Taluk Hospital Parassala","2014-15",12,"184","158","123",85.9,66.8,"1,146","700",622.8,380.4,"1,143",621.2,"1,073","24",2.2,0,NA,NA,NA,NA,NA,NA,"841",0,0,"841",457.1,"841",100,100,0,"306",NA,36.4,36.4,NA,100,68.4,0,0,"841","841",100,100,"841",100,0,100,"841",100,"16",1.9
"257","Vakkom CHC Area","2014-15",12,"1,096","946","476",86.3,43.4,"930","323",84.9,29.5,"955",87.1,"17","0",0,0.8,0,0,0,NA,0,NA,"0",0,NA,"360",32.8,"360",100,100,0,"0","218",60.6,NA,60.6,0,NA,NA,100,"214","897",59.4,249.2,"360",100,1,99.7,"360",100,"9",2.5
"258","Vamanapuram BPHC Area","2014-15",12,"1,508","1,264","1,173",83.8,77.8,"1,516","1,122",100.5,74.4,"1,530",101.5,"50","0",0,1.8,0,0,0,NA,0,NA,"0",0,NA,"1,197",79.4,"1,197",100,100,0,"0","418",34.9,NA,34.9,0,NA,NA,100,"1,201","1,388",100.3,116,"1,198",100.1,2,99.8,"1,198",100,"160",13.4
"259","Vellanad CHC Area","2014-15",12,"3,164","1,952","1,174",61.7,37.1,"2,088","1,053",66,33.3,"1,989",62.9,"324","0",0,0.5,1,0,1,0,0,0,"0",0,NA,"329",10.4,"330",99.7,99.7,0.3,"0","194",59,NA,59,0,NA,NA,100,"330","2,138",100,647.9,"334",101.2,0,100,"334",100,"1",0.3
"260","Vellarada CHC Area","2014-15",12,"1,303","1,090","1,016",83.7,78,"1,166","1,165",89.5,89.4,"1,198",91.9,"18","0",0,0.6,1,0,1,0,0,0,"2",0,0,"1,023",78.5,"1,024",99.9,99.9,0.1,"0","393",38.4,0,38.5,0.2,50,0,99.8,"1,028","2,265",100.4,221.2,"1,026",100.2,0,100,"1,026",100,"1",0.1
"261","Venpakal CHC Area","2014-15",12,"750","640","743",85.3,99.1,"713","241",95.1,32.1,"722",96.3,"29","2",6.9,1.1,0,0,0,NA,0,NA,"0",0,NA,"90",12,"90",100,100,0,"0","22",24.4,NA,24.4,0,NA,NA,100,"77","789",85.6,876.7,"91",101.1,0,100,"91",100,"2",2.2
"262","Vilappil CHC Area","2014-15",12,"3,814","3,264","2,750",85.6,72.1,"3,437","2,255",90.1,59.1,"3,570",93.6,"42","0",0,0.2,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","3,462",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"263","Vithura CHC Area","2014-15",12,"1,393","1,135","1,093",81.5,78.5,"1,240","724",89,52,"1,503",107.9,"27","0",0,0.2,3,1,2,33.3,0,0,"5",0,0,"11",0.8,"14",78.6,85.7,21.4,"0","1",9.1,0,16.7,45.5,0,0,54.5,"9","1,221",64.3,8721.4,"14",100,0,100,"14",100,"0",0
"264","Vizhinjam CHC Area","2014-15",12,"1,655","1,267","1,062",76.6,64.2,"1,514","503",91.5,30.4,"1,512",91.4,"11","0",0,0.8,0,0,0,NA,0,NA,"0",0,NA,"20",1.2,"20",100,100,0,"0","1",5,NA,5,0,NA,NA,100,"20","1,455",100,7275,"20",100,0,100,"20",100,"0",0
"265","Women and Children s Hospital Thycadu","2014-15",12,"75","35","75",46.7,100,"47","3,763",62.7,5017.3,"2,233",2977.3,"5,622","26",0.5,540,NA,NA,NA,NA,NA,NA,"6,599",0,0,"8,494",1325.3,"8,494",100,100,0,"2,196","1,035",38,33.3,54.6,77.7,36,0,22.3,"8,494","7,039",100,82.9,"8,531",100.4,20,99.8,"8,531",100,"921",10.8
"267","Alapad CHCArea","2014-15",13,"1,459","1,195","581",81.9,39.8,"1,336","494",91.6,33.9,"1,590",109,"5","0",0,0.1,0,0,0,NA,0,NA,"0",0,NA,"49",3.4,"49",100,100,0,"0","32",65.3,NA,65.3,0,NA,NA,100,"49","903",100,1842.9,"49",100,0,100,"49",100,"4",8.2
"268","Aloor BPHCArea","2014-15",13,"1,556","1,287","688",82.7,44.2,"1,524","645",97.9,41.5,"1,526",98.1,"11","0",0,0,1,0,1,0,0,0,"0",0,NA,"830",53.3,"831",99.9,99.9,0.1,"0","164",19.8,NA,19.8,0,NA,NA,100,"759","1,905",91.3,229.2,"826",99.4,6,99.3,"826",100,"51",6.2
"269","Anandapuram CHCArea","2014-15",13,"1,583","1,237","629",78.1,39.7,"1,559","1,448",98.5,91.5,"1,130",71.4,"23","0",0,0.8,0,0,0,NA,0,NA,"0",0,NA,"1,770",111.8,"1,770",100,100,0,"0","889",50.2,NA,50.2,0,NA,NA,100,"1,770","1,427",100,80.6,"1,781",100.6,1,99.9,"1,781",100,"151",8.5
"270","Chelakkara CHCArea","2014-15",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Cherpu CHCArea","2014-15",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Elinjipra CHCArea","2014-15",13,"1,237","1,049","424",84.8,34.3,"1,212","383",98,31,"1,192",96.4,"1","0",0,0,2,0,2,0,0,0,"0",0,NA,"0",0,"2",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"2","1,089",100,4450,"2",100,0,100,"2",100,"1",50
"273","Erumapetty CHCArea","2014-15",13,"3,484","2,815","1,391",80.8,39.9,"3,196","3,169",91.7,91,"3,054",87.7,"4","0",0,0,1,0,1,0,0,0,"0",0,NA,"214",6.1,"215",99.5,99.5,0.5,"0","77",36,NA,36,0,NA,NA,100,"215","2,727",100,1268.4,"216",100.5,0,100,"216",100,"10",4.6
"274","GH Irinjalakuda","2014-15",13,"424","206","29",48.6,6.8,"238","345",56.1,81.4,"132",31.1,"5","1",20,0,NA,NA,NA,NA,NA,NA,"489",0,0,"602",142,"602",100,100,0,"292","78",61.5,59.7,69,81.2,72.2,0,18.8,"602","339",100,56.3,"605",100.5,0,100,"604",99.8,"106",17.5
"275","GH THRISSUR","2014-15",13,"362","187","48",51.7,13.3,"424","2,567",117.1,709.1,"430",118.8,"874","1",0.1,53.6,NA,NA,NA,NA,NA,NA,"2,892",0,0,"8,935",2468.2,"8,935",100,100,0,"979","2,349",37.2,33.9,38.9,32.4,50.4,0,67.6,"8,935","8,935",100,100,"9,007",100.8,48,99.5,"9,007",100,"1,145",12.7
"276","Kadappuram CHCArea","2014-15",13,"1,500","1,156","617",77.1,41.1,"1,555","1,330",103.7,88.7,"1,426",95.1,"0","0",NA,0.6,1,0,1,0,0,0,"0",0,NA,"7",0.5,"8",87.5,87.5,12.5,"0","5",71.4,NA,71.4,0,NA,NA,100,"8","1,365",100,7062.5,"8",100,0,100,"8",100,"0",0
"277","Madavana CHCArea","2014-15",13,"1,542","1,344","542",87.2,35.1,"1,470","743",95.3,48.2,"1,341",87,"4","0",0,0,1,0,1,0,0,0,"0",0,NA,"479",31.1,"480",99.8,99.8,0.2,"0","268",55.9,NA,55.9,0,NA,NA,100,"480","1,452",100,302.5,"485",101,1,99.8,"485",100,"13",2.7
"278","Mambra BPHCArea","2014-15",13,"1,122","943","366",84,32.6,"1,088","314",97,28,"1,095",97.6,"0",NA,NA,0,0,0,0,NA,0,NA,"0",0,NA,"73",6.5,"73",100,100,0,"0","62",84.9,NA,84.9,0,NA,NA,100,"145","973",198.6,1332.9,"75",102.7,1,98.7,"75",100,"1",1.3
"279","Mattathur CHCArea","2014-15",13,"2,914","2,606","982",89.4,33.7,"2,776","1,572",95.3,53.9,"2,456",84.3,"377","17",4.5,1.3,1,0,1,0,0,0,"0",0,NA,"740",25.4,"741",99.9,99.9,0.1,"0","492",66.5,NA,66.5,0,NA,NA,100,"741","2,478",100,334.4,"745",100.5,4,99.5,"745",100,"72",9.7
"280","Mullasserry CHCArea","2014-15",13,"1,465","1,235","531",84.3,36.2,"1,526","792",104.2,54.1,"1,315",89.8,"8","1",12.5,0.5,1,0,1,0,0,0,"0",0,NA,"67",4.6,"68",98.5,98.5,1.5,"0","51",76.1,NA,76.1,0,NA,NA,100,"67","1,445",98.5,2125,"69",101.5,0,100,"69",100,"5",7.2
"281","Ollur CHCArea","2014-15",13,"2,632","2,030","743",77.1,28.2,"2,636","1,488",100.2,56.5,"1,643",62.4,"5","0",0,0.1,0,0,0,NA,0,NA,"0",0,NA,"1,722",65.4,"1,722",100,100,0,"0","667",38.7,NA,38.7,0,NA,NA,100,"1,722","4,047",100,235,"1,732",100.6,9,99.5,"1,732",100,"152",8.8
"282","Pamboor BPHCArea","2014-15",13,"896","648","413",72.3,46.1,"799","430",89.2,48,"874",97.5,"2",NA,0,0,1,0,1,0,0,0,"2,234",0,0,"2,234",249.3,"2,235",100,100,0,"985",NA,44.1,44.1,NA,100,4.3,0,0,"2,235","818",100,36.6,"2,235",100,0,100,"2,235",100,"142",6.4
"283","Pazhanji CHCArea","2014-15",13,"2,687","2,226","937",82.8,34.9,"2,406","2,192",89.5,81.6,"2,293",85.3,"4","0",0,0.1,0,0,0,NA,0,NA,"0",0,NA,"5,847",217.6,"5,847",100,100,0,"0","2,216",37.9,NA,37.9,0,NA,NA,100,"5,847","2,428",100,41.5,"5,844",99.9,3,99.9,"5,844",100,"206",3.5
"284","Perinjanam CHCArea","2014-15",13,"2,458","2,149","938",87.4,38.2,"2,462","961",100.2,39.1,"1,639",66.7,"0","0",NA,0,0,0,0,NA,0,NA,"0",0,NA,"357",14.5,"357",100,100,0,"0","143",40.1,NA,40.1,0,NA,NA,100,"357","2,217",100,621,"361",101.1,0,100,"361",100,"22",6.1
"285","Puthenchira CHCArea","2014-15",13,"701","643","258",91.7,36.8,"679","236",96.9,33.7,"644",91.9,"3","0",0,0.4,0,0,0,NA,0,NA,"0",0,NA,"401",57.2,"401",100,100,0,"0","285",71.1,NA,71.1,0,NA,NA,100,"401","817",100,203.7,"408",101.7,0,100,"408",100,"46",11.3
